2024-09-04 16:20:07,840 - ERROR - Failed to generate content poems. Type: rondeau, Subtype: None, Sentiment: amor, Rime: hendecasíl·labs (11 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:20:09,778 - ERROR - Failed to generate content poems. Type: rondeau, Subtype: None, Sentiment: amor, Rime: hendecasíl·labs (11 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:20:35,273 - ERROR - Failed to generate content poems. Type: epopeia, Subtype: None, Sentiment: amor, Rime: tetrasíl·labs (4 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:20:36,931 - ERROR - Failed to generate content poems. Type: epopeia, Subtype: None, Sentiment: amor, Rime: tetrasíl·labs (4 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:20:42,144 - ERROR - Failed to generate content poems. Type: epopeia, Subtype: None, Sentiment: amor, Rime: hexasíl·labs (6 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:20:47,180 - ERROR - Failed to generate content poems. Type: epopeia, Subtype: None, Sentiment: amor, Rime: heptasíl·labs (7 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:20:49,286 - ERROR - Failed to generate content poems. Type: epopeia, Subtype: None, Sentiment: amor, Rime: octosíl·labs (8 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:21:55,404 - ERROR - Failed to generate content poems. Type: ballada, Subtype: None, Sentiment: amor, Rime: hexasíl·labs (6 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:21:56,898 - ERROR - Failed to generate content poems. Type: ballada, Subtype: None, Sentiment: amor, Rime: heptasíl·labs (7 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:22:03,411 - ERROR - Failed to generate content poems. Type: ballada, Subtype: None, Sentiment: amor, Rime: enneasíl·labs (9 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:22:10,608 - ERROR - Failed to generate content poems. Type: ballada, Subtype: None, Sentiment: amor, Rime: hendecasíl·labs (11 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:23:54,244 - ERROR - Failed to generate content poems. Type: poesia lírica, Subtype: None, Sentiment: amor, Rime: pentasíl·labs (5 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:24:09,407 - ERROR - Failed to generate content poems. Type: poesia lírica, Subtype: None, Sentiment: amor, Rime: enneasíl·labs (9 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:58:53,648 - ERROR - Failed to generate content linkedin posts. Type: company updates, Subtype: new hires, Sentiment: None, Rime: None Error: 500 An internal error has occurred. Please retry or report in https://developers.generativeai.google/guide/troubleshooting
2024-09-04 17:01:29,623 - ERROR - Failed to generate content linkedin posts. Type: professional achievements, Subtype: project completions, Sentiment: None, Rime: None Error: 500 An internal error has occurred. Please retry or report in https://developers.generativeai.google/guide/troubleshooting
2024-09-04 17:02:45,413 - ERROR - Failed to generate content emails. Type: marketing email, Subtype: newsletter updates, Sentiment: None, Rime: None Error: 500 An internal error has occurred. Please retry or report in https://developers.generativeai.google/guide/troubleshooting
2024-09-04 17:03:04,791 - ERROR - Failed to generate content whatsapp messages. Type: family chat, Subtype: holiday plans, Sentiment: None, Rime: None Error: 500 An internal error has occurred. Please retry or report in https://developers.generativeai.google/guide/troubleshooting
